Timestamp,Program Studi,Tahun Masuk UIN Jakarta,Tahun Wisuda,Bulan Wisuda,Status saat ini,Waktu Mendapatkan Pekerjaan,Perusahaan,Posisi,Tahun Wirausaha,Bidang wirausaha,Penghasilan,Tahun Masuk S2,Universitas S2,Tahun Masuk S3,Universitas S3,Nama Prodi S2/S3,Kesesuaian Kurikulum,Kesesuaian Bidang Ilmu,Saran
7/2/2024 8:28,Prodi Biologi,2016,2021,Juni,Karyawan Swasta,3,"Dinas Perindustrian, Perdagangan, Koperasi, Usaha Kecil dan Menengah Provinsi DKI Jakarta",Staff,,,12000000,,,,,,5,5,Terimakasih UIN Jakarta
7/2/2024 9:55,Prodi Teknik Informatika,2016,2022,November,Karyawan Swasta,13,djembatan dua,software engineer,,,8000000,,,,,,2,4,semoga prodi TI semakin mengembangkan kurikulum dan program pembelajaran agar TI UIN semakin harum di dunia industri maupun akademis
7/2/2024 10:29,Prodi Kimia,2018,2024,Februari,Melamar Pekerjaan,,,,,,,,,,,,4,4,
7/2/2024 10:30,Prodi Kimia,2016,2023,Agustus,Karyawan Swasta,1,PT SAF Enviro Persada,Asisten Tenaga Ahli Lingkungan,,,5000000,,,,,,4,4,
7/2/2024 10:50,Prodi Kimia,2019,2024,Agustus,Karyawan Swasta,1,Petrolab Services,Petroleum Analyst,,,6000000,,,,,,3,5,Akan lebih baik jika mahasiswa dibekali dengan sertifikasi keahlian yang berguna di industri yang relevan dengan bidangnya
7/2/2024 11:00,Prodi Biologi,2019,2024,Juni,Melamar Pekerjaan,,,,,,,,,,,,5,5,
7/2/2024 11:00,Prodi Biologi,2019,2023,November,Melamar Pekerjaan,,,,,,,,,,,,5,5,
7/2/2024 11:09,Prodi Biologi,2018,2022,November,Karyawan Swasta,1,PT. CROWDE Membangun Bangsa,Research and Development Officer Leader,,,,,,,,,4,5,semoga IPK bisa ditingkatkan lagi karena sangat masuk prasyarat kerja
7/2/2024 11:12,Prodi Biologi,2018,2023,November,Pengajar,5,Yayasan Nurul hidayah ,Guru madrasah aliyah,,,,,,,,,4,3,Alhamdulillah prodi biologi sudah bagus pelayanan terhadap mahasiswa juga sudah cukup bagus dan sangat memudahkan mahasiswa
7/2/2024 11:22,Prodi Biologi,2019,2023,November,Karyawan Swasta,1,PT Karsa Buana Lestari,Staff Laboratorium,,,4000000,,,,,,4,3,
7/2/2024 11:24,Prodi Biologi,2016,2020,Agustus,ASN/PNS,6,"Balai Besar Taman Nasional Lore Lindu, Kementerian Lingkungan Hidup dan Kehutanan",Analis Konservasi Kawasan,,,8000000,,,,,,4,5,
7/2/2024 11:25,Prodi Biologi,2018,2024,Februari,Melamar Pekerjaan,,,,,,,,,,,,4,1,
7/2/2024 11:27,Prodi Biologi,2016,2021,Juli,Karyawan Swasta,13,Dinas Pertamanan dan Hutan Kota DKI Jakarta,Laboran Kultur Jaringan,,,4800000,,,,,,5,5,
7/2/2024 11:36,Prodi Biologi,2016,2022,Februari,Pengajar,1,SMP dan SMK Adzikra,Waka Kurikulum SMK Adzikra ,,,2000000,,,,,,3,3,"Saran dr saya semoga layanan akademik fakultas lebih sigap, cepat dan tanggap"
7/2/2024 11:40,Prodi Biologi,2016,2021,Juni,Melamar Pekerjaan,13,P3JPH UIN Syarif Hidayatullah Jakarta,Admin & Sekretariat,,,2000000,,,,,,1,1,"untuk biologi, mohon untuk mengadakan mata kuliah pangan halal atau sistem halal seperti yang ada di prodi kimia, farmasi, maupun agribisnis"
7/2/2024 11:40,Prodi Biologi,2018,2022,Agustus,Pengajar,3,SDIT Quran Asyfa,Guru Kelas ,,,,,,,,,3,3,Perlunya adanya kerjasama atau mitra dengan badan usaha atau pembuat program wirausaha yang bisa di bangun sebelum kelulusan
7/2/2024 11:43,Prodi Biologi,2017,2022,Agustus,Wirausaha,1,,,2022,Textile,20000000,,,,,,2,2,
